Category,Specialty Area,Work Role,Competency Grouping,Competency ID,Competency,KSA ID,KSA
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C001,Asset / Inventory Management,K0361,"Knowledge of asset availability, capabilities and limitations."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C001,Asset / Inventory Management,K0361,"Knowledge of asset availability, capabilities and limitations."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C001,Asset / Inventory Management,S0304,"Skill to access information on current assets available, usage."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C001,Asset / Inventory Management,S0304,"Skill to access information on current assets available, usage."
Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),Technical,C001,Asset / Inventory Management,A0130,Ability to ensure that senior officials within the organization provide information security for the information and systems that support the operations and assets under their control.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C001,Asset / Inventory Management,S0304,"Skill to access information on current assets available, usage."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Operational,C002,Business Continuity,K0353,Knowledge of possible circumstances that would result in changing collection management authorities.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Operational,C002,Business Continuity,K0353,Knowledge of possible circumstances that would result in changing collection management authorities.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Operational,C002,Business Continuity,K0584,Knowledge of the organizational policies/procedures for temporary transfer of collection authority.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Operational,C002,Business Continuity,K0584,Knowledge of the organizational policies/procedures for temporary transfer of collection authority.
Protect and Defend (PR),Cyber Defense Infrastructure Support (INF),Cyber Defense Infrastructure Support Specialist (PR-INF-001),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Operational,C002,Business Continuity,S0186,Skill in applying crisis planning procedures.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Operational,C002,Business Continuity,S0186,Skill in applying crisis planning procedures.
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Operational,C002,Business Continuity,S0186,Skill in applying crisis planning procedures.
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C002,Business Continuity,K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C002,Business Continuity,K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Operational,C002,Business Continuity,S0032,"Skill in developing, testing, and implementing network infrastructure contingency and recovery plans."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Operational,C002,Business Continuity,S0032,"Skill in developing, testing, and implementing network infrastructure contingency and recovery plans."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Operational,C002,Business Continuity,S0201,"Skill in creating plans in support of remote operations. (i.e., hot/warm/cold/alternative sites, disaster recovery)."
Protect and Defend (PR),Incident Response (CIR),Cyber Defense Incident Responder (PR-CIR-001),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Protect and Defend (PR),Incident Response (CIR),Cyber Defense Incident Responder (PR-CIR-001),Operational,C002,Business Continuity,K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.
Operate and Maintain (OM),Network Services (NET),Network Operations Specialist (OM-NET-001),Operational,C002,Business Continuity,S0150,Skill in implementing and testing network infrastructure contingency and recovery plans.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C002,Business Continuity,K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.
Securely Provision (SP),Systems Architecture (ARC),Security Architect (SP-ARC-002),Operational,C002,Business Continuity,K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Operational,C002,Business Continuity,K0032,Knowledge of resiliency and redundancy.
Securely Provision (SP),Systems Development (SYS),Systems Developer (SP-SYS-002),Operational,C002,Business Continuity,K0032,Knowledge of resiliency and redundancy.
Securely Provision (SP),Systems Requirements Planning (SRP),Systems Requirements Planner (SP-SRP-001),Operational,C002,Business Continuity,K0032,Knowledge of resiliency and redundancy.
Protect and Defend (PR),Vulnerability Assessment and Management (VAM),Vulnerability Assessment Analyst (PR-VAM-001),Operational,C002,Business Continuity,K0021,Knowledge of data backup and recovery.
Protect and Defend (PR),Vulnerability Assessment and Management (VAM),Vulnerability Assessment Analyst (PR-VAM-001),Operational,C002,Business Continuity,K0210,Knowledge of data backup and restoration concepts.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Operational,C003,Client Relationship Management,S0343,"Skill to orchestrate intelligence planning teams, coordinate collection and production support, and monitor status."
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Operational,C003,Client Relationship Management,S0244,"Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results."
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C003,Client Relationship Management,A0016,Ability to facilitate small group discussions.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C003,Client Relationship Management,S0244,"Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results."
Securely Provision (SP),Systems Architecture (ARC),Security Architect (SP-ARC-002),Operational,C003,Client Relationship Management,A0148,"Ability to serve as the primary liaison between the enterprise architect and the systems security engineer and coordinates with system owners, common control providers, and system security officers on the allocation of security controls as system-specific, hybrid, or common controls."
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Operational,C003,Client Relationship Management,S0244,"Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results."
Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),Operational,C003,Client Relationship Management,A0016,Ability to facilitate small group discussions.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,A0079,Ability to correctly employ each organization or element into the collection plan and matrix.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,K0448,Knowledge of how to establish priorities for resources.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,K0448,Knowledge of how to establish priorities for resources.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,K0568,Knowledge of the definition of collection management and collection management authority.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,K0601,Knowledge of the systems/architecture/communications used for coordination.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,K0605,"Knowledge of tipping, cueing, mixing, and redundancy."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,K0605,"Knowledge of tipping, cueing, mixing, and redundancy."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0311,"Skill to apply the capabilities, limitations and tasking methodologies of available platforms, sensors, architectures and apparatus as they apply to organization objectives."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0313,"Skill to articulate a needs statement/requirement and integrate new and emerging collection capabilities, accesses and/or processes into collection operations."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0324,Skill to determine feasibility of collection.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0327,Skill to ensure that the collection strategy leverages all available resources. 
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0327,Skill to ensure that the collection strategy leverages all available resources. 
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0330,"Skill to evaluate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities. "
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0330,"Skill to evaluate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities. "
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0334,"Skill to identify and apply tasking, collection, processing, exploitation and dissemination to associated collection disciplines. "
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0334,"Skill to identify and apply tasking, collection, processing, exploitation and dissemination to associated collection disciplines. "
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0336,Skill to identify when priority information requirements are satisfied.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0336,Skill to identify when priority information requirements are satisfied.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0337,Skill to implement established procedures for evaluating collection management and operations activities.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0339,"Skill to interpret readiness reporting, its operational relevance and intelligence collection impact."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0339,"Skill to interpret readiness reporting, its operational relevance and intelligence collection impact."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0346,Skill to resolve conflicting collection requirements.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0347,Skill to review performance specifications and historical information about collection assets.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0347,Skill to review performance specifications and historical information about collection assets.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0348,Skill to specify collections and/or taskings that must be conducted in the near term.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0351,"Skill to translate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C004,Collection Operations,S0352,Skill to use collaborative tools and environments for collection operations.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0352,Skill to use collaborative tools and environments for collection operations.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C004,Collection Operations,S0353,Skill to use systems and/or tools to track collection requirements and determine if they are satisfied.
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C004,Collection Operations,A0099,"Ability to perform network collection tactics, techniques, and procedures to include decryption capabilities/tools."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C004,Collection Operations,A0100,Ability to perform wireless collection procedures to include decryption capabilities/tools.
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C004,Collection Operations,K0371,"Knowledge of principles of the collection development processes (e.g., Dialed Number Recognition, Social Network Analysis)."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C004,Collection Operations,K0557,"Knowledge of terminal or environmental collection (process, objectives, organization, targets, etc.)."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C004,Collection Operations,S0260,Skill in recognizing midpoint opportunities and essential information.
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C004,Collection Operations,K0500,"Knowledge of organization and/or partner collection systems, capabilities, and processes (e.g., collection and protocol processors)."
Analyze (AN),All-Source Analysis (ASA),All-Source Analyst (AN-ASA-001),Technical,C005,Computer Forensics,K0449,"Knowledge of how to extract, analyze, and use metadata."
Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),Technical,C005,Computer Forensics,K0449,"Knowledge of how to extract, analyze, and use metadata."
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C005,Computer Forensics,K0449,"Knowledge of how to extract, analyze, and use metadata."
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Technical,C005,Computer Forensics,A0175,Ability to examine digital media on multiple operating system platforms.
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Technical,C005,Computer Forensics,K0118,Knowledge of processes for seizing and preserving digital evidence.
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Technical,C005,Computer Forensics,K0128,Knowledge of types and collection of persistent data.
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Technical,C005,Computer Forensics,S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),Technical,C005,Computer Forensics,S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C005,Computer Forensics,K0433,Knowledge of forensic implications of operating system structure and operations.
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C005,Computer Forensics,K0573,Knowledge of the fundamentals of digital forensics to extract actionable intelligence.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,A0005,Ability to decrypt digital data collections.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,A0005,Ability to decrypt digital data collections.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,A0043,Ability to conduct forensic analyses in and for both Windows and Unix/Linux environments.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,A0175,Ability to examine digital media on multiple operating system platforms.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0017,Knowledge of concepts and practices of processing digital forensic data.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0118,Knowledge of processes for seizing and preserving digital evidence.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0118,Knowledge of processes for seizing and preserving digital evidence.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0122,"Knowledge of investigative implications of hardware, Operating Systems, and network technologies."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0122,"Knowledge of investigative implications of hardware, Operating Systems, and network technologies."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0128,Knowledge of types and collection of persistent data.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0128,Knowledge of types and collection of persistent data.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0132,"Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0132,"Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0133,Knowledge of types of digital forensics data and how to recognize them.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0133,Knowledge of types of digital forensics data and how to recognize them.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0134,Knowledge of deployable forensics.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0134,Knowledge of deployable forensics.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0182,"Knowledge of data carving tools and techniques (e.g., Foremost)."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0182,"Knowledge of data carving tools and techniques (e.g., Foremost)."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0184,"Knowledge of anti-forensics tactics, techniques, and procedures."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0184,"Knowledge of anti-forensics tactics, techniques, and procedures."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0185,"Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark)."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,K0185,"Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark)."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,K0304,Knowledge of concepts and practices of processing digital forensic data.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0065,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics)."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0065,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics)."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0069,Skill in setting up a forensic workstation.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0069,Skill in setting up a forensic workstation.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0071,"Skill in using forensic tool suites (e.g., EnCase, Sleuthkit, FTK)."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0071,"Skill in using forensic tool suites (e.g., EnCase, Sleuthkit, FTK)."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)."
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)."
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0090,Skill in analyzing anomalous code as malicious or benign.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0090,Skill in analyzing anomalous code as malicious or benign.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0091,Skill in analyzing volatile data.
Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),Technical,C005,Computer Forensics,S0091,Skill in analyzing volatile data.
Investigate (IN),Digital Forensics (FOR),Cyber Defense Forensics Analyst (IN-FOR-002),Technical,C005,Computer Forensics,S0133,"Skill in processing digital evidence, to include protecting and making legally sound copies of evidence."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C005,Computer Forensics,K0447,"Knowledge of how to collect, view, and identify essential information on targets of interest from metadata (e.g., email, http)."
Protect and Defend (PR),Incident Response (CIR),Cyber Defense Incident Responder (PR-CIR-001),Technical,C005,Computer Forensics,S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Technical,C005,Computer Forensics,K0449,"Knowledge of how to extract, analyze, and use metadata."
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),Technical,C005,Computer Forensics,K0017,Knowledge of concepts and practices of processing digital forensic data.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C005,Computer Forensics,S0120,Skill in reviewing logs to identify evidence of past intrusions.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C005,Computer Forensics,K0449,"Knowledge of how to extract, analyze, and use metadata."
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C005,Computer Forensics,K0449,"Knowledge of how to extract, analyze, and use metadata."
Securely Provision (SP),Technology R&D (TRD),Research and Development Specialist (SP-TRD-001),Technical,C005,Computer Forensics,K0268,Knowledge of forensic footprint identification.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C005,Computer Forensics,K0449,"Knowledge of how to extract, analyze, and use metadata."
Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),Technical,C005,Computer Forensics,S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)."
Protect and Defend (PR),Vulnerability Assessment and Management (VAM),Vulnerability Assessment Analyst (PR-VAM-001),Technical,C005,Computer Forensics,S0120,Skill in reviewing logs to identify evidence of past intrusions.
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Technical,C006,Computer Languages,K0139,Knowledge of interpreted and compiled computer languages.
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C006,Computer Languages,K0051,"Knowledge of low-level computer languages (e.g., assembly languages)."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C006,Computer Languages,K0372,"Knowledge of programming concepts (e.g., levels, structures, compiled vs. interpreted languages)."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C006,Computer Languages,S0257,"Skill in reading, interpreting, writing, modifying, and executing simple scripts (e.g., PERL, VBS) on Windows and Unix systems (e.g., those that perform tasks like parsing large data files, automating manual tasks, and fetching/processing remote data)."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C006,Computer Languages,S0266,"Skill in relevant programming languages (e.g., C++, Python, etc.). "
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,A0029,Ability to build complex data structures and high-level programming languages.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,K0016,Knowledge of computer programming principles 
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,K0051,"Knowledge of low-level computer languages (e.g., assembly languages)."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,K0068,Knowledge of programming language structures and logic.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,K0139,Knowledge of interpreted and compiled computer languages.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,K0140,Knowledge of secure coding techniques.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,K0236,"Knowledge of how to utilize Hadoop, Java, Python, SQL, Hive, and Pig to explore data."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,S0060,"Skill in writing code in a currently supported programming language (e.g., Java, C++)."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,S0094,Skill in reading Hexadecimal data.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C006,Computer Languages,S0095,"Skill in identifying common encoding techniques (e.g., Exclusive Disjunction [XOR], American Standard Code for Information Interchange [ASCII], Unicode, Base64, Uuencode, Uniform Resource Locator [URL] encode)."
